id,country,iso3,latitude,longitude,centroid,role,displacement_type,qualifier,figure,displacement_date,displacement_start_date,displacement_end_date,year,event_id,event_name,event_codes,event_code_types,event_start_date,event_end_date,category,subcategory,type,subtype,old_id,sources,source_url,locations_name,locations_coordinates,locations_accuracy,locations_type,displacement_occurred,created_at,description,link,combined_type
,#country+name,#country+iso3,#geo+lat,#geo+lon,,,#event+displacement_type,#total,#affected+displaced,#date+displacement,#date+displacement+start,#date+displacement+end,#date+year,,#event+name,,,#date+event+start,#date+event+end,,,#event+type,#event+subtype,,,,,,,,,#date+created,#description,#meta+url,#cause
193339,Palestine,PSE,31.43317,34.37793,"[31.43317, 34.37793]",Recommended figure,Conflict,total,60056,2025-09-23,2025-09-21,2025-09-23,2025,30896,Palestine:  International armed conflict (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 01/01/2025,,,2025-01-01,2025-12-31,,,,,,Site Management Cluster - Palestine,https://www.cccmcluster.org/sites/default/files/2025-09/Population%20Movement%20Monitoring%20-%20Flash%20Update%2030%20-%2020%20-23%20%20Sep%20.pdf,"Gaza Strip, Palestinian Territories","31.43317, 34.37793",Point,Origin,Displacement without preventive evacuations reported,2025-09-24T14:02:49.949648Z,"Palestine: 60,056 displacements, 21 September - 23 September. International armed conflict (iac) resulted in a total of 60,056 displacements in the Gaza Strip, Palestinian Territories between 21 and 23 September, according to the Site Management Cluster Palestine.",https://www.cccmcluster.org/sites/default/files/2025-09/Population%20Movement%20Monitoring%20-%20Flash%20Update%2030%20-%2020%20-23%20%20Sep%20.pdf,Conflict
193324,Palestine,PSE,31.43317,34.37793,"[31.43317, 34.37793]",Recommended figure,Conflict,total,81621,2025-09-20,2025-09-18,2025-09-20,2025,30896,Palestine:  International armed conflict (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 01/01/2025,,,2025-01-01,2025-12-31,,,,,,Site Management Cluster - Palestine,https://www.cccmcluster.org/sites/default/files/2025-09/Population%20Movement%20Monitoring%20-%20Flash%20Update%2029%20-%2017%20-20%20%20Sep.pdf,"Gaza Strip, Palestinian Territories","31.43317, 34.37793",Point,Origin,Displacement without preventive evacuations reported,2025-09-24T13:23:37.831971Z,"Palestine: 81,621 displacements, 18 September - 20 September. International armed conflict (iac) resulted in a total of 81621 displacements in the Gaza Strip, Palestinian Territories between 18 and 20 September, according to the Site Management Cluster Palestine.",https://www.cccmcluster.org/sites/default/files/2025-09/Population%20Movement%20Monitoring%20-%20Flash%20Update%2029%20-%2017%20-20%20%20Sep.pdf,Conflict
193321,Palestine,PSE,31.43317,34.37793,"[31.43317, 34.37793]",Recommended figure,Conflict,total,55589,2025-09-17,2025-09-15,2025-09-17,2025,30896,Palestine:  International armed conflict (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 01/01/2025,,,2025-01-01,2025-12-31,,,,,,Site Management Cluster - Palestine,https://www.cccmcluster.org/sites/default/files/2025-09/Population%20Movement%20Monitoring%20-%20Flash%20Update%2028%20-%2014%20-17%20%20Sep.pdf,"Gaza Strip, Palestinian Territories","31.43317, 34.37793",Point,Origin,Displacement without preventive evacuations reported,2025-09-24T13:13:37.247411Z,"Palestine: 55,589 displacements, 15 September - 17 September. A total of 55,589 people were displaced due to international armed conflict (iac) between 15 and 17 September in Gaza Strip, Palestinian Territories, according to clusters and consortias.",https://www.cccmcluster.org/sites/default/files/2025-09/Population%20Movement%20Monitoring%20-%20Flash%20Update%2028%20-%2014%20-17%20%20Sep.pdf,Conflict
193320,Palestine,PSE,31.43317,34.37793,"[31.43317, 34.37793]",Recommended figure,Conflict,total,68826,2025-09-14,2025-09-11,2025-09-14,2025,30896,Palestine:  International armed conflict (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 01/01/2025,,,2025-01-01,2025-12-31,,,,,,Site Management Cluster - Palestine,https://www.cccmcluster.org/sites/default/files/2025-09/Population%20Movement%20Monitoring%20-%20Flash%20Update%2027%20-%20September%2010%20-14%20.pdf,"Gaza Strip, Palestinian Territories","31.43317, 34.37793",Point,Origin,Displacement without preventive evacuations reported,2025-09-24T13:07:34.880368Z,"Palestine: 68,826 displacements, 11 September - 14 September. International armed conflict (iac) resulted in a total of 68,826 people being displaced in Gaza Strip, Palestinian Territories between 11 September and 14 September, according to Shelter Cluster Palestine.",https://www.cccmcluster.org/sites/default/files/2025-09/Population%20Movement%20Monitoring%20-%20Flash%20Update%2027%20-%20September%2010%20-14%20.pdf,Conflict
191918,Palestine,PSE,31.43317,34.37793,"[31.43317, 34.37793]",Recommended figure,Conflict,total,25333,2025-09-10,2025-09-08,2025-09-10,2025,30896,Palestine:  International armed conflict (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 01/01/2025,,,2025-01-01,2025-12-31,,,,,,Site Management Cluster - Palestine,https://www.cccmcluster.org/sites/default/files/2025-09/Population%20Movement%20Monitoring%20-%20Flash%20Update%2026%20-%2007%20-10%20%20Sep%202.pdf,"Gaza Strip, Palestinian Territories","31.43317, 34.37793",Point,Origin,Displacement without preventive evacuations reported,2025-09-12T07:52:58.272089Z,"Palestine: 25,333 displacements, 08 September - 10 September. A total of 25333 people were displaced due to international armed conflict (iac) on 8 September in Gaza Strip, Palestinian Territories, according to Shelter Cluster Palestine",https://www.cccmcluster.org/sites/default/files/2025-09/Population%20Movement%20Monitoring%20-%20Flash%20Update%2026%20-%2007%20-10%20%20Sep%202.pdf,Conflict
191541,Palestine,PSE,31.43317,34.37793,"[31.43317, 34.37793]",Recommended figure,Conflict,total,20893,2025-09-07,2025-09-01,2025-09-07,2025,30896,Palestine:  International armed conflict (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 01/01/2025,,,2025-01-01,2025-12-31,,,,,,Site Management Cluster - Palestine,https://www.cccmcluster.org/sites/default/files/2025-09/Population%20Movement%20Monitoring%20-%20Flash%20Update%2025%20-%2031%20Aug%20-%2007%20Sep.pdf,"Gaza Strip,  Palestinian Territories","31.43317, 34.37793",Point,Origin,Displacement without preventive evacuations reported,2025-09-08T08:29:47.544096Z,"Palestine: 20,893 displacements, 01 September - 07 September. International armed conflict (iac) resulted in a total of 20,893 people being displaced in Gaza Strip, Palestinian Territories between 1 September and 7 September, according to Shelter Cluster Palestine",https://www.cccmcluster.org/sites/default/files/2025-09/Population%20Movement%20Monitoring%20-%20Flash%20Update%2025%20-%2031%20Aug%20-%2007%20Sep.pdf,Conflict
192631,Palestine,PSE,32.318062,35.056252,"[32.318062, 35.056252]",Recommended figure,Conflict,total,106,2025-09-01,2025-09-01,2025-09-01,2025,31145,Palestine: International armed conflict (IAC) - West Bank - 01/01/2025,,,2025-01-01,2025-12-31,,,,,,Office for the Coordination of Humanitarian Affairs (OCHA),https://reliefweb.int/report/occupied-palestinian-territory/humanitarian-situation-update-320-west-bank-enarhe,"Nur Shams Refugee camp, Tulkarm Governorate, Judea and Samaria, Palestinian Territories","32.318062, 35.056252",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2025-09-16T01:18:37.971416Z,"Palestine: 106 displacements, 01 September - 01 September. A total of 21 households were displaced due to communal violence on 1 September in Nur Shams Refugee camp, Tulkarm Governorate, according to Office for the Coordination of Humanitarian Affairs (OCHA).",https://reliefweb.int/report/occupied-palestinian-territory/humanitarian-situation-update-320-west-bank-enarhe,Conflict
191547,Palestine,PSE,32.318062,35.056252,"[32.318062, 35.056252]",Recommended figure,Conflict,approximately,106,2025-09-01,2025-09-01,2025-09-01,2025,31145,Palestine: International armed conflict (IAC) - West Bank - 01/01/2025,,,2025-01-01,2025-12-31,,,,,,Office for the Coordination of Humanitarian Affairs (OCHA),https://reliefweb.int/report/occupied-palestinian-territory/humanitarian-situation-update-320-west-bank,"Nur Shams Refugee camp, Tulkarm Governorate, Judea and Samaria, Palestinian Territories","32.318062, 35.056252",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2025-09-08T09:03:42.762557Z,"Palestine: 106 displacements (evacuated), 01 September - 01 September. According to Office for the Coordination of Humanitarian Affairs (OCHA), approximately 21 households (106 people) were ordered to evacuate by Israeli Forces in Nur Shams Refugee camp, Tulkarm Governorate, Palestinian Territories due to international armed conflict (iac) on 1 September",https://reliefweb.int/report/occupied-palestinian-territory/humanitarian-situation-update-320-west-bank,Conflict
191540,Palestine,PSE,31.43317,34.37793,"[31.43317, 34.37793]",Recommended figure,Conflict,total,23319,2025-08-31,2025-08-28,2025-08-31,2025,30896,Palestine:  International armed conflict (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 01/01/2025,,,2025-01-01,2025-12-31,,,,,,Site Management Cluster - Palestine,https://www.cccmcluster.org/sites/default/files/2025-08/Population%20Movement%20Monitoring%20Flash%20Update%20-%2027-31%20Aug%202025%20_1.pdf,"Gaza Strip, Gaza Strip, Palestinian Territories","31.43317, 34.37793",Point,Origin,Displacement without preventive evacuations reported,2025-09-08T08:23:43.172328Z,"Palestine: 23,319 displacements, 28 August - 31 August. According to Shelter Cluster Palestine, a total of 23,319 people were displaced in Gaza Strip, Gaza Strip, Palestinian Territories due to international armed conflict (iac) between 28 August and 31 August.",https://www.cccmcluster.org/sites/default/files/2025-08/Population%20Movement%20Monitoring%20Flash%20Update%20-%2027-31%20Aug%202025%20_1.pdf,Conflict
192638,Palestine,PSE,31.95352,35.300442,"[31.95352, 35.300442]",Recommended figure,Conflict,total,17,2025-08-27,2025-08-27,2025-08-27,2025,33204,Palestine: Communal violence - Ramallah - 03/06/2025,,,2025-06-03,2025-08-27,,,,,,Office for the Coordination of Humanitarian Affairs (OCHA),https://reliefweb.int/report/occupied-palestinian-territory/humanitarian-situation-update-320-west-bank-enarhe,"Taybeh, West Bank, Palestinian Territories","31.95352, 35.300442",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2025-09-16T01:24:16.695265Z,"Palestine: 17 displacements, 27 August - 27 August. Communal violence resulted in a total of 17 people being displaced in Taybeh, West Bank, Palestinian Territories on 27 August, according to Office for the Coordination of Humanitarian Affairs (OCHA).",https://reliefweb.int/report/occupied-palestinian-territory/humanitarian-situation-update-320-west-bank-enarhe,Conflict
190960,Palestine,PSE,31.43317,34.37793,"[31.43317, 34.37793]",Recommended figure,Conflict,total,24049,2025-08-27,2025-08-25,2025-08-27,2025,30896,Palestine:  International armed conflict (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 01/01/2025,,,2025-01-01,2025-12-31,,,,,,Site Management Cluster - Palestine,https://www.cccmcluster.org/sites/default/files/2025-08/Population%20Movement%20Monitoring%20IOM%20Ad-Hoc%2027Aug%206.pdf,"Gaza Strip, Palestinian Territories","31.43317, 34.37793",Point,Origin,Displacement without preventive evacuations reported,2025-08-28T13:49:37.807894Z,"Palestine: 24,049 displacements, 25 August - 27 August. A total of 24,049 people were displaced due to international armed conflict (iac) between 25 August and August 27 in the Gaza Strip, Palestinian Territories, according to Shelter Cluster, Palestine",https://www.cccmcluster.org/sites/default/files/2025-08/Population%20Movement%20Monitoring%20IOM%20Ad-Hoc%2027Aug%206.pdf,Conflict
190877,Palestine,PSE,31.43317,34.37793,"[31.43317, 34.37793]",Recommended figure,Conflict,total,12810,2025-08-24,2025-08-21,2025-08-24,2025,30896,Palestine:  International armed conflict (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 01/01/2025,,,2025-01-01,2025-12-31,,,,,,Site Management Cluster - Palestine,https://www.cccmcluster.org/sites/default/files/2025-08/Population%20Movement%20Monitoring%20-%20Flash%20Update%20-%2020-24%20Aug.pdf,"Gaza Strip, Palestinian Territories","31.43317, 34.37793",Point,Origin,Displacement without preventive evacuations reported,2025-08-26T14:06:42.830616Z,"Palestine: 12,810 displacements, 21 August - 24 August. A total of 12810 people were displaced due to international armed conflict (iac) between 21 August and 24 August in Gaza Strip, Palestinian Territories, according to Shelter Cluster - Palestine",https://www.cccmcluster.org/sites/default/files/2025-08/Population%20Movement%20Monitoring%20-%20Flash%20Update%20-%2020-24%20Aug.pdf,Conflict
191919,Palestine,PSE,31.611019,35.22443,"[31.611019, 35.22443]",Recommended figure,Conflict,total,34,2025-08-21,2025-08-21,2025-08-21,2025,32956,Palestine: Communal violence - Jericho - 02/07/2025,,,2025-07-02,2025-07-03,,,,,,Office for the Coordination of Humanitarian Affairs (OCHA),https://reliefweb.int/report/occupied-palestinian-territory/humanitarian-situation-update-318-west-bank-enarhe,"Kisan, West Bank, Palestinian Territories","31.611019, 35.22443",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2025-09-12T08:14:06.876068Z,"Palestine: 34 displacements, 21 August - 21 August. A total of 34 people were displaced due to communal violence (attack by armed Israeli settlers) on 21 August in Kisan, West Bank, Palestinian Territories, according to Office for the Coordination of Humanitarian Affairs (OCHA).",https://reliefweb.int/report/occupied-palestinian-territory/humanitarian-situation-update-318-west-bank-enarhe,Conflict
190227,Palestine,PSE,31.43317,34.37793,"[31.43317, 34.37793]",Recommended figure,Conflict,total,15981,2025-08-20,2025-08-13,2025-08-20,2025,30896,Palestine:  International armed conflict (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 01/01/2025,,,2025-01-01,2025-12-31,,,,,,Site Management Cluster - Palestine,https://www.cccmcluster.org/sites/default/files/2025-08/Population%20Movement%20Monitoring%20Flash%20Update%20-%2012-%2020%20Aug.pdf,"Gaza Strip, Palestinian Territories","31.43317, 34.37793",Point,Origin,Displacement without preventive evacuations reported,2025-08-21T06:24:10.233194Z,"Palestine: 15,981 displacements, 13 August - 20 August. According to clusters and consortias, a total of 15,981 people were displaced in Gaza Strip, Palestinian Territories due to international armed conflict (iac) between 13 August and 20 August.",https://www.cccmcluster.org/sites/default/files/2025-08/Population%20Movement%20Monitoring%20Flash%20Update%20-%2012-%2020%20Aug.pdf,Conflict
192624,Palestine,PSE,31.906851,35.194401,"[31.906851, 35.194401]",Recommended figure,Conflict,total,100,2025-08-10,2025-08-10,2025-08-10,2025,33198,Palestine: Communal violence - Ramallah - 09/08/2025,,,2025-08-09,2025-08-10,,,,,,Office for the Coordination of Humanitarian Affairs (OCHA),https://reliefweb.int/report/occupied-palestinian-territory/humanitarian-situation-update-314-west-bank-enarhe,"Ramallah, Ramallah and al-Bireh Governorate, Palestinian Territories","31.906851, 35.194401",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2025-09-16T01:11:53.968845Z,"Palestine: 100 displacements, 10 August - 10 August. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 100 people were displaced in Ramallah, Ramallah and al-Bireh Governorate, Palestinian Territories due to communal violence on 10 August",https://reliefweb.int/report/occupied-palestinian-territory/humanitarian-situation-update-314-west-bank-enarhe,Conflict
189584,Palestine,PSE,31.46242,34.27496,"[31.46242, 34.27496]",Recommended figure,Conflict,total,12530,2025-08-12,2025-07-30,2025-08-12,2025,30896,Palestine:  International armed conflict (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 01/01/2025,,,2025-01-01,2025-12-31,,,,,,Site Management Cluster - Palestine,https://www.cccmcluster.org/sites/default/files/2025-08/Population%20Movement%20Monitoring%20IOM%2025%204.pdf,"Gaza Strip, Palestinian Territories","31.46242, 34.27496",District/Zone/Department (ADM2),Origin,Displacement without preventive evacuations reported,2025-08-12T22:00:43.103372Z,"Palestine: 12,530 displacements, 30 July - 12 August. A total of 12,530 people were displaced due to international armed conflict (iac) between July 30 and August 12 in Gaza Strip, Palestinian Territories, according to the Site Management Cluster - Palestine.",https://www.cccmcluster.org/sites/default/files/2025-08/Population%20Movement%20Monitoring%20IOM%2025%204.pdf,Conflict
192617,Palestine,PSE,31.707121,35.206589,"[31.707121, 35.206589]",Recommended figure,Conflict,total,27,2025-07-30,2025-07-30,2025-07-30,2025,33196,Palestine: Communal violence - Bethlehem - 30/07/2025,,,2025-07-30,2025-07-30,,,,,,Office for the Coordination of Humanitarian Affairs (OCHA),https://reliefweb.int/report/occupied-palestinian-territory/humanitarian-situation-update-312-west-bank-enarhe,"Bethlehem, West Bank, Palestinian Territories; Bethlehem, West Bank, Palestinian Territories","31.707121, 35.206589; 31.707121, 35.206589",County/City/town/Village/Woreda (ADM3); County/City/town/Village/Woreda (ADM3),Origin; Destination,Displacement without preventive evacuations reported,2025-09-16T01:03:13.765689Z,"Palestine: 27 displacements, 30 July - 30 July. A total of 27 people were displaced due to communal violence on 30 July in Bethlehem, West Bank, Palestinian Territories, according to Office for the Coordination of Humanitarian Affairs (OCHA).",https://reliefweb.int/report/occupied-palestinian-territory/humanitarian-situation-update-312-west-bank-enarhe,Conflict
188595,Palestine,PSE,31.43317,34.37793,"[31.43317, 34.37793]",Recommended figure,Conflict,total,5235,2025-07-29,2025-07-23,2025-07-29,2025,30896,Palestine:  International armed conflict (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 01/01/2025,,,2025-01-01,2025-12-31,,,,,,Site Management Cluster - Palestine,https://reliefweb.int/report/occupied-palestinian-territory/population-movement-monitoring-weekly-update-24,"Gaza Strip,  Palestinian Territories","31.43317, 34.37793",Point,Origin,Displacement without preventive evacuations reported,2025-07-29T15:21:09.122695Z,"Palestine: 5,235 displacements, 23 July - 29 July. A total of 5235 people were displaced due to international armed conflict (iac) between 23 and 29 July in Gaza Strip, Palestinian Territories, according to the Site Management Cluster - Palestine.",https://reliefweb.int/report/occupied-palestinian-territory/population-movement-monitoring-weekly-update-24,Conflict
188059,Palestine,PSE,31.43317,34.37793,"[31.43317, 34.37793]",Recommended figure,Conflict,total,25238,2025-07-22,2025-07-16,2025-07-22,2025,30896,Palestine:  International armed conflict (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 01/01/2025,,,2025-01-01,2025-12-31,,,,,,Site Management Cluster - Palestine,https://www.cccmcluster.org/sites/default/files/2025-07/Population%20Movement%20Monitoring%2023_3.pdf,"Gaza Strip, Palestinian Territories","31.43317, 34.37793",Point,Origin,Displacement without preventive evacuations reported,2025-07-24T13:09:56.608396Z,"Palestine: 25,238 displacements, 16 July - 22 July. International armed conflict (iac) resulted in a total of 25,238 people being displaced in Gaza Strip, Palestinian Territories between 16 July and 22 Julz, according to the Site Management Cluster - Palestine",https://www.cccmcluster.org/sites/default/files/2025-07/Population%20Movement%20Monitoring%2023_3.pdf,Conflict
188016,Palestine,PSE,31.43317,34.37793,"[31.43317, 34.37793]",Recommended figure,Conflict,total,11662,2025-07-15,2025-07-09,2025-07-15,2025,30896,Palestine:  International armed conflict (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 01/01/2025,,,2025-01-01,2025-12-31,,,,,,Site Management Cluster - Palestine,https://www.cccmcluster.org/sites/default/files/2025-07/Population%20Movement%20Monitoring%20IOM%2022.pdf,"Gaza Strip, Palestinian Territories","31.43317, 34.37793",Point,Origin,Displacement without preventive evacuations reported,2025-07-23T11:07:27.496276Z,"Palestine: 11,662 displacements, 09 July - 15 July. International armed conflict (iac) resulted in a total of 11,662 people being displaced in the Gaza Strip, Palestinian Territories between 9 July and 15 July, according to the Site Management Custer - Palestine.",https://www.cccmcluster.org/sites/default/files/2025-07/Population%20Movement%20Monitoring%20IOM%2022.pdf,Conflict
187313,Palestine,PSE,31.43317,34.37793,"[31.43317, 34.37793]",Recommended figure,Conflict,total,11681,2025-07-08,2025-07-02,2025-07-08,2025,30896,Palestine:  International armed conflict (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 01/01/2025,,,2025-01-01,2025-12-31,,,,,,Site Management Cluster - Palestine,https://www.cccmcluster.org/where-we-work/occupied-palestinian-territory,"Gaza Strip, Palestinian Territories","31.43317, 34.37793",Point,Origin,Displacement without preventive evacuations reported,2025-07-10T14:33:49.278023Z,"Palestine: 11,681 displacements, 02 July - 08 July. A total of 45553 people were displaced due to international armed conflict (iac) between 2 July and8 July in the Gaza Strip, Palestinian Territories, according to Shelter Cluster - Palestine",https://www.cccmcluster.org/where-we-work/occupied-palestinian-territory,Conflict
191806,Palestine,PSE,31.86565,35.457241,"[31.86565, 35.457241]",Recommended figure,Conflict,approximately,120,2025-07-03,2025-07-02,2025-07-03,2025,32956,Palestine: Communal violence - Jericho - 02/07/2025,,,2025-07-02,2025-07-03,,,,,,Office for the Coordination of Humanitarian Affairs (OCHA),https://reliefweb.int/report/occupied-palestinian-territory/humanitarian-situation-update-303-west-bank-enarhe,"Jericho, Jericho Governorate, Judea and Samaria, Palestinian Territories","31.86565, 35.457241",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2025-09-10T11:59:20.751874Z,"Palestine: 120 displacements, 02 July - 03 July. According to Office for the Coordination of Humanitarian Affairs (OCHA), approximately 120 people were displaced in Jericho, due to communal violence between 2 and 3 July.",https://reliefweb.int/report/occupied-palestinian-territory/humanitarian-situation-update-303-west-bank-enarhe,Conflict
189518,Palestine,PSE,32.1908,35.32328,"[32.1908, 35.32328]",Recommended figure,Conflict,total,22,2025-06-30,2025-06-30,2025-06-30,2025,31145,Palestine: International armed conflict (IAC) - West Bank - 01/01/2025,,,2025-01-01,2025-12-31,,,,,,Office for the Coordination of Humanitarian Affairs (OCHA),https://demolition.ochaopt.org/login.aspx,"Nablus Governorate, Judea and Samaria, Palestinian Territories","32.1908, 35.32328",District/Zone/Department (ADM2),Origin,,2025-08-12T07:24:40.069123Z,"Palestine: 22 displacements (destroyed housing), 30 June - 30 June. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 22 people were displaced by housing demolition in Tell al Khashaba due to international armed conflict (iac) on 30 June.",https://demolition.ochaopt.org/login.aspx,Conflict
189507,Palestine,PSE,31.83469,35.266071,"[31.83469, 35.266071]",Recommended figure,Conflict,total,8,2025-06-25,2025-06-25,2025-06-25,2025,31145,Palestine: International armed conflict (IAC) - West Bank - 01/01/2025,,,2025-01-01,2025-12-31,,,,,,Office for the Coordination of Humanitarian Affairs (OCHA),https://demolition.ochaopt.org/login.aspx,"Hizma, West Bank, Palestinian Territories","31.83469, 35.266071",County/City/town/Village/Woreda (ADM3),Origin,,2025-08-12T06:58:30.553074Z,"Palestine: 8 displacements (destroyed housing), 25 June - 25 June. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 8 people were displaced by housing demolition in Hizma due to international armed conflict (iac) on 25 June.",https://demolition.ochaopt.org/login.aspx,Conflict
